id;title;year;genre;duration;country;director
tt0490075;Aftermath;2013;Crime, Thriller;84;USA;Thomas Farone
tt0490215;Silence;2016;Drama, History;161;USA, UK, Taiwan, Japan, Mexico, Italy;Martin Scorsese
tt0490236;The Invited;2010;Horror, Thriller;95;USA;Ryan McKinney
tt0491152;Something Borrowed;2011;Comedy, Drama, Romance;112;USA;Luke Greenfield
tt0491175;Suburbicon;2017;Comedy, Crime, Drama;105;UK, USA;George Clooney
tt0491203;Tulip Fever;2017;Drama, History, Romance;105;UK, USA;Justin Chadwick
tt0492044;The Haunting in Connecticut;2009;Drama, Horror, Mystery;92;USA, Canada;Peter Cornwell
tt0492389;Furry Vengeance;2010;Comedy, Family;92;USA, United Arab Emirates;Roger Kumble
tt0492890;The Wild Stallion;2009;Drama, Family;82;USA;Craig Clyde
tt0492896;My Suicide;2009;Comedy, Drama;107;USA;David Lee Miller
tt0493076;Nina;2016;Biography, Drama, Music;90;UK;Cynthia Mort
tt0493405;CHIPS;2017;Action, Comedy, Crime;100;USA;Dax Shepard
tt0493451;The Skeptic;2009;Horror, Thriller;89;USA;Tennyson Bardwell
tt0493463;El cÃ¡rtel;2009;Drama, Thriller;87;USA, Mexico;Brian J. Bagley
tt0493949;Ramona and Beezus;2010;Comedy, Drama, Family;103;USA;Elizabeth Allen Rosenbaum
tt0494864;Tenderness;2009;Crime, Drama, Thriller;101;USA;John Polson
tt0495111;The Forest;2009;Drama, Horror, Thriller;88;India, UK, USA;Ashvin Kumar
tt0496375;Prisoners of the Sun;2013;Action, Adventure, Horror;85;USA, Germany;Roger Christian
tt0496634;The Countess;2009;Biography, Drama, History;98;France, Germany;Julie Delpy
tt0496673;Calvin Marshall;2009;Comedy, Drama;93;USA;Gary Lundgren
tt0498351;The Hero of Color City;2014;Animation, Family;77;USA, India, South Korea;Frank Gladstone
tt0498381;Rings;2017;Drama, Horror, Mystery;102;USA;F. Javier GutiÃ©rrez
tt0499493;He's Such a Girl;2009;Comedy, Drama, Romance;83;USA;Sean Carr
tt0499549;Avatar;2009;Action, Adventure, Fantasy;162;USA;James Cameron
tt0758746;Friday the 13th;2009;Horror, Mystery, Thriller;97;USA;Marcus Nispel
tt0758752;Love & Other Drugs;2010;Comedy, Drama, Romance;112;USA;Edward Zwick
tt0758755;Immortally Yours;2009;Horror, Romance;100;USA;Joe Tornatore
tt0760166;Don't Let Me Drown;2009;Drama, Romance;105;USA;Cruz Angeles
tt0760169;Hallettsville;2009;Horror;87;USA;Andrew Pozza
tt0762073;Bakjwi;2009;Drama, Horror, Romance;135;South Korea, USA;Chan-wook Park
tt0762105;I Hate Valentine's Day;2009;Comedy, Romance;98;USA;Nia Vardalos
tt0762125;Planet 51;2009;Animation, Adventure, Comedy;91;Spain, UK, USA;Jorge Blanco, Javier Abad
tt0762138;Syrup;2013;Comedy, Drama, Romance;90;USA;Aram Rappaport
tt0763831;A Thousand Words;2012;Comedy, Drama;91;USA;Brian Robbins
tt0763844;Lulu und Jimi;2009;Drama, Music, Romance;94;Germany, France;Oskar Roehler
tt0765010;Brothers;2009;Action, Drama, Thriller;105;USA;Jim Sheridan
tt0765446;Escape from Planet Earth;2013;Animation, Adventure, Comedy;89;USA, Canada;Cal Brunker
tt0765465;The Legend of Secret Pass;2010;Animation, Family, Fantasy;92;USA;Steve Trenbirth
tt0768187;Eu e Meu Guarda-Chuva;2010;Family, Fantasy;78;Brazil;Toni Vanzolini
tt0768222;Night of the Templar;2013;Horror, Mystery;101;USA;Paul Sampson
tt0768239;Storm;2009;Drama;103;Germany, Denmark, Netherlands, Sweden, Bosnia and Herzegovina;Hans-Christian Schmid
tt0770703;What's Your Number?;2011;Comedy, Romance;106;USA;Mark Mylod
tt0770778;King of the Avenue;2010;Drama, Fantasy, Thriller;83;USA, Canada;Ryan Combs
tt0770828;Man of Steel;2013;Action, Adventure, Sci-Fi;143;USA, UK;Zack Snyder
tt0772175;Jersey Justice;2014;Action, Thriller;100;USA;John Charles Hunt
tt0775080;Closed for Winter;2009;Drama;85;Australia;James Bogle
tt0775440;Cell;2016;Action, Drama, Horror;98;USA;Tod Williams
tt0775489;L'illusionniste;2010;Animation, Drama;80;France, UK;Sylvain Chomet
tt0775543;Night Catches Us;2010;Drama, Romance;90;USA;Tanya Hamilton
tt0775552;Aliens in the Attic;2009;Adventure, Comedy, Family;86;USA, Canada;John Schultz
tt0780002;Contact High;2009;Comedy;98;Austria, Germany, Poland, Luxembourg;Michael Glawogger
tt0780504;Drive;2011;Crime, Drama;100;USA;Nicolas Winding Refn
tt0780511;Everybody's Fine;2009;Adventure, Drama;99;USA;Kirk Jones
tt0780521;The Princess and the Frog;2009;Animation, Adventure, Comedy;97;USA;Ron Clements, John Musker
tt0780548;Kid Cannabis;2014;Biography, Comedy, Crime;110;USA;John Stockwell
tt0780567;Imagine That;2009;Comedy, Drama, Family;107;USA, Germany;Karey Kirkpatrick
tt0780625;Santorini Blue;2013;Comedy, Drama;90;USA;Matthew D. Panepinto
tt0780645;War of the Dead;2011;Action, Adventure, Horror;86;USA, Lithuania, Italy;Marko MÃ¤kilaakso
tt0780653;The Wolfman;2010;Drama, Fantasy, Horror;103;USA;Joe Johnston
tt0783530;Je te mangerais;2009;Drama, Music;96;France;Sophie Laloy
tt0785006;Hotel for Dogs;2009;Comedy, Family;100;Germany, USA;Thor Freudenthal
tt0787442;The Attack;2012;Drama, Mystery, War;102;Lebanon, France, Qatar, Belgium;Ziad Doueiri
tt0787470;Balls Out: Gary the Tennis Coach;2009;Comedy, Sport;92;USA;Danny Leiner
tt0787474;The Boxtrolls;2014;Animation, Adventure, Comedy;96;USA;Graham Annable, Anthony Stacchi
