movie_id;males_votes;females_votes;votes_10;votes_9;votes_8;votes_7;votes_6;votes_5;votes_4;votes_3;votes_2;votes_1
tt7941612;63;5;13;1;4;13;10;4;11;11;10;34
tt7941892;218;50;227;61;90;51;27;13;6;3;3;27
tt7942708;230;57;157;60;53;36;35;21;10;10;10;25
tt7942742;1392;399;157;167;370;466;387;254;152;75;77;204
tt7943040;272;6;59;52;79;100;44;19;6;7;1;10
tt7943162;57;1;16;2;4;5;20;19;10;6;9;11
tt7943248;126;15;14;10;33;46;47;16;6;3;1;7
tt7945822;89;60;35;15;13;19;29;28;24;12;8;17
tt7946422;9346;724;558;604;1844;3190;3073;1733;794;403;251;375
tt7946644;81;133;102;26;35;47;28;32;7;8;6;26
tt7946836;1785;287;240;164;461;832;555;250;104;65;43;95
tt7947470;231;60;17;10;60;101;74;44;24;12;4;12
tt7948540;284;87;63;22;64;89;96;72;40;21;19;60
tt7949046;336;46;53;15;19;35;44;57;54;74;68;92
tt7949178;86;8;39;1;0;2;0;0;0;5;5;86
tt7950334;488;106;48;36;71;97;152;138;67;42;39;58
tt7952000;627;182;79;42;121;261;280;171;74;28;24;54
tt7952840;98;21;16;8;14;13;33;23;14;16;15;15
tt7952920;354;41;38;32;83;79;92;53;26;23;26;50
tt7953814;549;291;341;259;199;109;38;24;8;14;3;13
tt7955106;185;27;201;34;28;14;6;8;5;6;2;25
tt7955554;132;40;27;19;47;60;29;19;8;2;1;16
tt7955712;54;22;7;5;7;36;20;9;10;4;3;1
tt7958614;63;38;25;12;13;18;14;17;7;6;1;14
tt7958644;86;38;23;15;26;24;18;12;9;5;5;24
tt7959026;51879;6902;4619;5789;19212;29447;13502;4389;1547;678;419;625
tt7959216;6052;1358;1031;1333;2536;2227;1070;503;254;166;123;212
tt7959500;738;177;92;20;38;67;89;163;183;192;147;307
tt7959876;164;2;24;8;26;43;67;46;13;7;0;11
tt7960458;195;14;184;44;29;22;13;2;5;0;0;6
tt7961060;11777;497;6455;3071;3856;2758;1242;517;202;121;78;348
tt7961558;64;26;11;1;5;9;21;18;10;11;14;15
tt7962598;148;31;35;10;40;72;46;21;11;3;0;8
tt7962932;1493;379;125;164;254;392;533;453;201;100;64;112
tt7963218;460;26;31;2;2;15;4;13;21;51;72;426
tt7963804;147;3;107;33;38;23;30;16;10;5;1;13
tt7967312;94;13;4;4;20;30;27;23;6;10;4;5
